state,crop,crop_category,suitability_score,priority,primary_season,agro_climatic_zone,area_under_cultivation_hectares,average_yield_kg_per_hectare,production_tons,productivity_kg_per_hectare_per_day,water_requirement_mm,temperature_min_celsius,temperature_max_celsius,soil_ph_min,soil_ph_max,rainfall_requirement_mm
Andhra Pradesh,rapeseed,oilseeds,54.3,very_low,rabi,southern_india,13834,5282,83251,16.1,662,21,25,5.6,7.1,336
Andhra Pradesh,sesame_til,oilseeds,52.8,very_low,kharif,southern_india,11541,1684,94800,26.3,425,16,32,6.1,8,340
Andhra Pradesh,sunflower,oilseeds,60.6,low,kharif,southern_india,31143,6995,323195,12.3,291,19,25,6.1,8.4,817
Andhra Pradesh,safflower,oilseeds,45.8,very_low,kharif,southern_india,10602,4819,172231,22.4,1449,23,28,5.6,7.2,316
Andhra Pradesh,niger,oilseeds,41.4,very_low,kharif,southern_india,1904,3232,159955,6,1258,14,27,6.2,7.9,1089
Andhra Pradesh,linseed_flax,oilseeds,51,very_low,kharif,southern_india,7539,2242,156610,41.3,1487,16,32,6.3,7.5,1137
Andhra Pradesh,castor,oilseeds,67.9,low,kharif,southern_india,38760,6281,42906,45.6,856,22,31,6.4,7.6,309
Andhra Pradesh,coconut,oilseeds,96.8,high,perennial,southern_india,53383,7650,1244942,30.8,1021,16,30,5.8,8,977
Andhra Pradesh,palm_oil,oilseeds,51.9,very_low,kharif,southern_india,2586,4460,12119,29.7,773,23,32,5.6,7.2,985
Andhra Pradesh,olive,oilseeds,49.3,very_low,kharif,southern_india,1121,5906,7109,42,1118,11,26,6.5,7.6,633
Andhra Pradesh,walnut,oilseeds,52.2,very_low,kharif,southern_india,28543,6273,87307,8.8,1210,18,33,6.4,7.2,743
Andhra Pradesh,almond,oilseeds,40.2,very_low,kharif,southern_india,1273,1831,18385,34.2,1169,18,44,5.9,7.4,1081
Andhra Pradesh,cotton,fiber,73.4,medium,kharif,southern_india,3248,7789,52313,45.1,886,24,26,6.1,8.5,770
Andhra Pradesh,jute,fiber,49.4,very_low,kharif,southern_india,11000,5392,111890,45.6,259,14,44,6.4,7.7,858
Andhra Pradesh,mesta,fiber,44.2,very_low,kharif,southern_india,6455,3473,64317,8.5,1466,24,38,6,7.5,1032
Andhra Pradesh,flax,fiber,50.3,very_low,kharif,southern_india,12083,6757,100703,37.7,997,16,43,6.4,7.1,323
Andhra Pradesh,hemp,fiber,45.6,very_low,kharif,southern_india,25880,2052,124688,22.1,1460,22,41,6,7.6,546
Andhra Pradesh,sisal,fiber,40.8,very_low,kharif,southern_india,22238,7998,217622,30,1199,24,41,5.7,7.7,416
Andhra Pradesh,coir,fiber,54.3,very_low,kharif,southern_india,5229,5701,109485,21.1,347,20,35,6.3,7.8,1066
Andhra Pradesh,sugarcane,sugar,78.3,medium,perennial,southern_india,104701,3824,128900,6.3,1181,19,39,5.7,7.2,313
Andhra Pradesh,sugar_beet,sugar,45.3,very_low,kharif,southern_india,8682,4062,157694,20.7,868,21,32,6.1,8.3,1154
Andhra Pradesh,turmeric,spices,72.2,medium,kharif,southern_india,72024,2807,532870,49.1,840,14,37,5.7,7.1,415
Andhra Pradesh,coriander,spices,41.9,very_low,kharif,southern_india,1922,5486,19077,20.6,1365,17,38,5.7,7.3,336
Andhra Pradesh,cumin,spices,42.5,very_low,kharif,southern_india,2884,1620,15165,25.7,468,15,35,6.2,7.1,1019
Andhra Pradesh,fennel,spices,49.4,very_low,kharif,southern_india,10178,7446,5794,17.5,1248,21,28,5.7,7.6,736
Andhra Pradesh,fenugreek,spices,49.3,very_low,kharif,southern_india,8131,6232,5267,16.4,1127,23,35,6,7.2,702
Andhra Pradesh,ajwain,spices,48,very_low,kharif,southern_india,4106,3640,2529,19.5,474,14,27,6.4,7.9,911
Andhra Pradesh,black_pepper,spices,81.8,medium,kharif,southern_india,11035,4759,539856,38.5,761,11,30,5.9,8,813
Andhra Pradesh,cardamom_small,spices,75.3,medium,kharif,southern_india,90882,2660,122709,11.9,519,12,28,5.8,7.3,1107
Andhra Pradesh,cardamom_large,spices,41.2,very_low,kharif,southern_india,8529,7876,18547,22.9,1460,22,41,5.8,7.3,901
Andhra Pradesh,cinnamon,spices,53.9,very_low,kharif,southern_india,12171,2959,130156,13.4,620,16,35,5.7,7.2,849
Andhra Pradesh,clove,spices,44.3,very_low,kharif,southern_india,3520,4367,92238,7.3,637,12,26,6.5,7.5,1028
Andhra Pradesh,nutmeg,spices,43.8,very_low,kharif,southern_india,18020,5169,89271,23.5,653,23,41,6.5,7.2,957
Andhra Pradesh,ginger,spices,54.1,very_low,kharif,southern_india,1033,6187,62673,42.9,381,21,29,5.7,7.2,1033
Andhra Pradesh,garlic,spices,50,very_low,kharif,southern_india,7473,7140,64363,41.7,770,15,34,5.8,8.1,752
Andhra Pradesh,onion,spices,43.5,very_low,rabi,southern_india,10918,4804,203014,33.1,351,24,37,5.8,7.2,1014
Andhra Pradesh,chilli,spices,49.3,very_low,kharif,southern_india,18497,6520,25255,19,523,21,25,6.1,8.1,1089
Andhra Pradesh,tamarind,spices,45.1,very_low,kharif,southern_india,3158,6925,27181,22.9,1236,12,29,6.2,8.1,877
Andhra Pradesh,vanilla,spices,50.4,very_low,kharif,southern_india,5407,3419,30467,45.9,958,16,34,6.4,7.2,827
Andhra Pradesh,saffron,spices,47.6,very_low,kharif,southern_india,620,7104,165776,30.4,1105,23,39,5.7,7.9,846
Andhra Pradesh,mint,spices,46.4,very_low,kharif,southern_india,23122,7478,89325,10.1,1480,22,27,6.4,8.3,766
Andhra Pradesh,basil,spices,48.9,very_low,kharif,southern_india,1154,3346,115518,5.2,633,15,35,6.4,7.5,612
Andhra Pradesh,oregano,spices,51.1,very_low,kharif,southern_india,4425,4167,21623,12.9,847,16,43,5.9,7.9,869
Andhra Pradesh,thyme,spices,40.2,very_low,kharif,southern_india,4334,7727,27874,23.7,310,24,35,6.1,7.1,974
Andhra Pradesh,tea,plantation,43.1,very_low,perennial,southern_india,5958,2334,8445,26.2,934,10,40,6,7.8,696
Andhra Pradesh,coffee_arabica,plantation,76,medium,perennial,southern_india,19507,2273,821789,47.6,685,14,37,5.9,7,440
Andhra Pradesh,coffee_robusta,plantation,50.7,very_low,perennial,southern_india,853,2553,43025,35.2,225,11,40,5.7,8,514
Andhra Pradesh,rubber,plantation,56.5,low,perennial,southern_india,30566,6989,280078,22.9,1068,13,30,6.4,7,376
Andhra Pradesh,cocoa,plantation,43.1,very_low,kharif,southern_india,1996,5081,35563,45.2,1262,15,30,5.9,7.9,541
Andhra Pradesh,cashew,plantation,79.4,medium,kharif,southern_india,60471,4052,256737,47.7,1192,12,42,6,8.3,1019
Andhra Pradesh,areca_nut,plantation,46.4,very_low,kharif,southern_india,2883,4791,52993,16.6,381,22,44,6,7.3,545
Andhra Pradesh,betelvine,plantation,40.3,very_low,kharif,southern_india,3580,5035,62220,29.9,1046,22,29,5.5,7.2,1110
Andhra Pradesh,black_pepper_plantation,plantation,53.1,very_low,kharif,southern_india,13267,5655,30973,46.1,744,15,35,5.5,7.2,964
Andhra Pradesh,mango,fruits_tropical,41.2,very_low,kharif,southern_india,5579,3725,51112,21,1134,14,36,6,8,1143
Andhra Pradesh,banana,fruits_tropical,51,very_low,perennial,southern_india,584,2835,68129,7.3,845,18,31,6.3,7.2,367
Andhra Pradesh,papaya,fruits_tropical,50.9,very_low,kharif,southern_india,13768,4043,39396,41.9,1239,20,30,6.1,7.5,382
Andhra Pradesh,pineapple,fruits_tropical,53.8,very_low,kharif,southern_india,12108,4122,18967,29.4,1334,20,41,6.2,8,1064
Andhra Pradesh,jackfruit,fruits_tropical,43.7,very_low,kharif,southern_india,4531,7913,149463,6.8,1117,23,28,6.1,8.4,330
Andhra Pradesh,guava,fruits_tropical,50.5,very_low,kharif,southern_india,14753,7797,120474,26.3,1320,22,31,6.3,7.1,836
Andhra Pradesh,coconut_fruit,fruits_tropical,43.5,very_low,kharif,southern_india,1069,5874,33828,37.6,284,14,35,6.3,7.5,863
Andhra Pradesh,passion_fruit,fruits_tropical,53.3,very_low,kharif,southern_india,5370,1170,155374,6,1337,17,43,6.3,8.5,615
Andhra Pradesh,dragon_fruit,fruits_tropical,51.5,very_low,kharif,southern_india,8750,5392,126102,49.3,1198,16,33,6.2,7.4,399
Andhra Pradesh,rambutan,fruits_tropical,45.3,very_low,kharif,southern_india,4776,2635,5452,5.8,1484,16,32,6.2,7.3,1154
Andhra Pradesh,sapota,fruits_tropical,51.8,very_low,kharif,southern_india,4991,7153,89100,26,997,12,44,5.7,8.4,884
Andhra Pradesh,custard_apple,fruits_tropical,49.1,very_low,kharif,southern_india,4827,2235,35883,13.4,1213,15,26,6.5,8.3,1134
Andhra Pradesh,wood_apple,fruits_tropical,54.9,very_low,kharif,southern_india,5421,6307,75088,11.9,1260,13,29,6,7.9,822
Andhra Pradesh,apple,fruits_temperate,41.4,very_low,kharif,southern_india,7519,1906,195905,48,1320,22,38,6.1,7.1,667
Andhra Pradesh,pear,fruits_temperate,45.6,very_low,kharif,southern_india,11034,4471,9991,14.9,1088,11,42,6,7.7,833
Andhra Pradesh,peach,fruits_temperate,52.4,very_low,kharif,southern_india,11551,4960,36346,44.5,1236,19,42,6.4,8.1,1053
Andhra Pradesh,plum,fruits_temperate,50.5,very_low,kharif,southern_india,14690,6269,30146,44.6,1333,10,41,5.6,7.5,969
Andhra Pradesh,apricot,fruits_temperate,42.4,very_low,kharif,southern_india,21978,4552,1608,17.9,1002,24,37,5.8,8,785
Andhra Pradesh,cherry,fruits_temperate,51.7,very_low,kharif,southern_india,9267,4788,93527,20.4,1022,23,27,6.4,8,361
Andhra Pradesh,strawberry,fruits_temperate,44.5,very_low,kharif,southern_india,1852,5075,67019,32.9,259,23,44,6.5,8.1,417
Andhra Pradesh,kiwi,fruits_temperate,51.4,very_low,kharif,southern_india,334,3265,41067,39.7,1088,16,30,6.5,7.6,706
Andhra Pradesh,grape,fruits_temperate,42.5,very_low,kharif,southern_india,18043,2545,17304,35.6,1050,14,44,5.7,7.6,1149
Andhra Pradesh,pomegranate,fruits_temperate,46.3,very_low,kharif,southern_india,9190,2919,179249,23.4,1362,13,29,5.5,8,631
Andhra Pradesh,fig,fruits_temperate,53,very_low,kharif,southern_india,18851,2298,135281,39.9,1202,22,40,6.1,7.2,329
Andhra Pradesh,persimmon,fruits_temperate,53.8,very_low,kharif,southern_india,17834,4370,21155,10.6,1091,16,29,6,7.1,823
Andhra Pradesh,orange,fruits_citrus,44,very_low,kharif,southern_india,8233,4186,2669,8.3,710,17,37,5.8,8,1074
Andhra Pradesh,lime,fruits_citrus,51.7,very_low,kharif,southern_india,5241,1734,20979,49.4,385,17,37,6.2,7.8,308
Andhra Pradesh,lemon,fruits_citrus,44.9,very_low,kharif,southern_india,1974,3454,5603,8.5,716,11,36,6.2,8.2,480
Andhra Pradesh,grapefruit,fruits_citrus,42.5,very_low,kharif,southern_india,7739,5945,3172,47.1,267,18,39,6.4,8.1,1021
Andhra Pradesh,mandarin,fruits_citrus,45.1,very_low,kharif,southern_india,2348,7263,115317,41.8,788,19,35,6.2,7.1,354
Andhra Pradesh,sweet_lime,fruits_citrus,43.7,very_low,kharif,southern_india,11516,2534,102983,20.2,436,21,38,6,7.8,947
Andhra Pradesh,kinnow,fruits_citrus,43.4,very_low,kharif,southern_india,29179,5552,48012,35.6,293,10,30,6,8.3,954
Andhra Pradesh,spinach,vegetables_leafy,51.1,very_low,kharif,southern_india,6524,3597,146252,6.8,1327,18,33,6.2,7.7,1086
Andhra Pradesh,fenugreek_leaves,vegetables_leafy,53.5,very_low,kharif,southern_india,5236,5146,134567,14.5,1009,19,39,5.6,8.1,1118
Andhra Pradesh,amaranth,vegetables_leafy,42.7,very_low,kharif,southern_india,14333,2266,100844,27.2,521,23,33,6,7.5,833
Andhra Pradesh,cabbage,vegetables_leafy,42.5,very_low,kharif,southern_india,17281,2806,93694,19.6,1205,11,44,6,7.4,366
Andhra Pradesh,cauliflower,vegetables_leafy,42.5,very_low,kharif,southern_india,7008,6802,70421,16.2,1002,20,28,5.7,7.1,962
Andhra Pradesh,lettuce,vegetables_leafy,50,very_low,kharif,southern_india,16485,6639,91361,44.1,467,11,30,5.6,7.8,1142
Andhra Pradesh,kale,vegetables_leafy,40.6,very_low,kharif,southern_india,5694,7537,31554,27.8,254,12,44,6.5,7,1156
Andhra Pradesh,mustard_leaves,vegetables_leafy,49.6,very_low,kharif,southern_india,12590,4609,107132,35,381,10,31,6.2,7.3,906
Andhra Pradesh,curry_leaves,vegetables_leafy,54.5,very_low,kharif,southern_india,8028,4106,82510,13,1100,22,43,6.2,7.7,856
Andhra Pradesh,coriander_leaves,vegetables_leafy,53,very_low,kharif,southern_india,858,7516,118180,35.4,480,19,32,6.2,7.2,892
Andhra Pradesh,potato,vegetables_root,55,very_low,rabi,southern_india,10716,3848,76391,40.2,937,21,42,5.9,7.5,900
Andhra Pradesh,sweet_potato,vegetables_root,52.1,very_low,kharif,southern_india,20192,4049,165220,10.4,907,10,31,5.9,7.6,925
Andhra Pradesh,carrot,vegetables_root,45.8,very_low,kharif,southern_india,4651,3612,34644,8.3,984,20,37,6,7.6,1077
Andhra Pradesh,radish,vegetables_root,47.8,very_low,kharif,southern_india,692,3388,59686,22.9,954,18,37,6.3,8.2,946
Andhra Pradesh,turnip,vegetables_root,54.3,very_low,kharif,southern_india,2112,1052,53723,45.4,516,23,26,6.4,7.5,391
Andhra Pradesh,beetroot,vegetables_root,47.3,very_low,kharif,southern_india,4419,3151,97263,29.3,604,19,39,5.8,7.6,409
Andhra Pradesh,onion_vegetable,vegetables_root,42.7,very_low,kharif,southern_india,4479,4676,134063,9.8,937,13,44,6,8.2,795
Andhra Pradesh,garlic_vegetable,vegetables_root,40.7,very_low,kharif,southern_india,21572,5211,148563,44.8,496,13,37,5.9,8.3,1110
Andhra Pradesh,ginger_vegetable,vegetables_root,45.3,very_low,kharif,southern_india,11535,2923,97011,24.1,1067,11,37,6,7.9,451
Andhra Pradesh,turmeric_vegetable,vegetables_root,51.1,very_low,kharif,southern_india,6120,1670,5420,33.9,989,18,29,5.9,7.9,747
Andhra Pradesh,yam,vegetables_root,54.8,very_low,kharif,southern_india,8887,3830,43676,37.3,1100,24,27,5.6,8.1,820
Andhra Pradesh,taro,vegetables_root,44.1,very_low,kharif,southern_india,1098,7259,17881,19.6,494,15,26,6,7.1,1020
Andhra Pradesh,cassava,vegetables_root,43.5,very_low,kharif,southern_india,18330,5556,88782,19.6,632,20,44,6.2,7.8,957
Andhra Pradesh,tomato,vegetables_fruit,47,very_low,kharif,southern_india,6348,7703,15803,36.1,461,18,26,6,8.1,612
Andhra Pradesh,brinjal_eggplant,vegetables_fruit,50,very_low,kharif,southern_india,24041,2642,82922,11.9,1490,23,35,6.3,7.8,861
Andhra Pradesh,okra_ladyfinger,vegetables_fruit,41.3,very_low,kharif,southern_india,3425,6782,157119,36.9,247,14,30,5.9,7.1,1143
Andhra Pradesh,bottle_gourd,vegetables_fruit,48.3,very_low,kharif,southern_india,6492,4130,77471,28.2,1395,17,44,6.4,7.3,1137
Andhra Pradesh,bitter_gourd,vegetables_fruit,41.7,very_low,kharif,southern_india,10192,7145,183014,41.3,1227,14,26,5.9,7.3,925
Andhra Pradesh,ridge_gourd,vegetables_fruit,45.2,very_low,kharif,southern_india,19022,6757,31544,43.8,1399,17,37,6.3,7.3,752
Andhra Pradesh,snake_gourd,vegetables_fruit,46,very_low,kharif,southern_india,4833,1477,2795,11.1,1452,18,44,5.9,7.5,755
Andhra Pradesh,ash_gourd,vegetables_fruit,46.6,very_low,kharif,southern_india,7806,2512,60088,34.3,397,10,40,6,7.1,1195
Andhra Pradesh,pumpkin,vegetables_fruit,40.9,very_low,kharif,southern_india,23514,2674,27403,10.5,594,11,38,5.6,7.8,1197
Andhra Pradesh,cucumber,vegetables_fruit,52.2,very_low,zaid,southern_india,6985,5367,94148,24.2,369,23,33,5.7,7.6,672
Andhra Pradesh,watermelon,vegetables_fruit,52.4,very_low,zaid,southern_india,19037,1077,82283,26.7,224,13,40,5.6,7.8,493
Andhra Pradesh,muskmelon,vegetables_fruit,40.2,very_low,zaid,southern_india,14469,6610,113804,27,342,18,34,6.3,7.1,739
Andhra Pradesh,capsicum,vegetables_fruit,42.3,very_low,kharif,southern_india,12204,4332,49700,22.8,797,21,42,6.5,8.2,583
Andhra Pradesh,chilli_vegetable,vegetables_fruit,50.3,very_low,kharif,southern_india,4915,6886,5944,45.6,799,19,38,6.4,8,852
Andhra Pradesh,drumstick,vegetables_fruit,41,very_low,kharif,southern_india,3231,6162,83563,35.6,254,11,39,5.6,7.1,310
Andhra Pradesh,green_peas,vegetables_legume,54.3,very_low,kharif,southern_india,8903,3075,69402,39.9,1059,12,28,5.6,8,987
Andhra Pradesh,french_bean,vegetables_legume,44,very_low,kharif,southern_india,951,7775,24699,39.6,1012,15,29,5.6,7.9,997
Andhra Pradesh,cluster_bean_vegetable,vegetables_legume,49.7,very_low,kharif,southern_india,1061,7779,131708,18.2,1473,19,36,6.2,8.2,890
Andhra Pradesh,broad_bean,vegetables_legume,41.9,very_low,kharif,southern_india,15571,2572,50021,24.4,771,19,43,5.7,7.2,477
Andhra Pradesh,berseem,fodder,53.3,very_low,kharif,southern_india,6715,6711,157946,43.1,1394,13,40,6,8.3,955
Andhra Pradesh,lucerne_alfalfa,fodder,51.6,very_low,kharif,southern_india,4292,4815,182153,47.2,256,12,27,6.2,8.2,492
Andhra Pradesh,oats_fodder,fodder,47.6,very_low,kharif,southern_india,19721,4795,126746,27.9,586,18,38,6.4,8,985
Andhra Pradesh,sorghum_fodder,fodder,42.4,very_low,kharif,southern_india,369,2726,111818,49.6,328,16,41,5.7,7.8,959
Andhra Pradesh,maize_fodder,fodder,49.2,very_low,kharif,southern_india,4978,6486,61072,5.2,1189,10,39,5.7,8.4,631
Andhra Pradesh,bajra_fodder,fodder,44.9,very_low,kharif,southern_india,4056,7136,103441,21.6,783,20,42,6.1,7.6,671
Andhra Pradesh,cowpea_fodder,fodder,50.4,very_low,kharif,southern_india,6274,3488,63965,9.2,964,17,37,5.6,7.9,805
Andhra Pradesh,stylo,fodder,48.4,very_low,kharif,southern_india,15000,6634,47800,42.1,847,11,26,5.8,8.2,936
Andhra Pradesh,para_grass,fodder,51.8,very_low,kharif,southern_india,9069,2032,53554,24.5,315,13,36,6.2,8.5,1139
Andhra Pradesh,guinea_grass,fodder,49.6,very_low,kharif,southern_india,11788,6499,17605,23.4,1291,15,36,6.1,7.3,626
Andhra Pradesh,napier_grass,fodder,45,very_low,kharif,southern_india,357,6821,23066,28.3,588,24,30,5.9,8.3,1057
Andhra Pradesh,tulsi,medicinal,42.8,very_low,kharif,southern_india,12078,4380,28046,8.6,1146,17,33,6.2,8.1,443
Andhra Pradesh,neem,medicinal,49.2,very_low,kharif,southern_india,9579,5598,97251,8.1,274,14,30,5.7,8.4,524
Andhra Pradesh,aloe_vera,medicinal,44.1,very_low,kharif,southern_india,11466,6436,13406,26.9,243,10,43,5.6,7.8,669
Andhra Pradesh,ashwagandha,medicinal,45.2,very_low,kharif,southern_india,884,5646,215784,30.2,1417,10,33,5.8,8.1,1183
Andhra Pradesh,brahmi,medicinal,43.8,very_low,kharif,southern_india,4757,4957,85797,48.7,991,15,27,5.7,7.3,525
Andhra Pradesh,kalmegh,medicinal,52.8,very_low,kharif,southern_india,11209,1803,146077,37.5,287,20,35,5.6,7.7,736
Andhra Pradesh,giloy,medicinal,42.5,very_low,kharif,southern_india,24619,5683,107089,23.5,1046,18,26,6,8.2,713
Andhra Pradesh,stevia,medicinal,40.8,very_low,kharif,southern_india,5385,2810,34112,19.9,1183,17,29,6.4,8.3,1083
Andhra Pradesh,mentha_mint,medicinal,43.6,very_low,kharif,southern_india,18742,6404,4319,7.9,803,23,35,6,7.2,891
Andhra Pradesh,lemongrass,medicinal,52.3,very_low,kharif,southern_india,13696,7751,28844,28.5,573,21,36,6.1,8.2,656
Andhra Pradesh,citronella,medicinal,53.7,very_low,kharif,southern_india,3437,5871,131156,19.3,1314,23,30,6.5,7.2,481
Andhra Pradesh,palmarosa,medicinal,42.8,very_low,kharif,southern_india,18337,2064,98365,32.7,308,23,41,6,8.5,675
Andhra Pradesh,vetiver,medicinal,54.8,very_low,kharif,southern_india,14910,2161,164830,24.2,410,10,36,6,8.1,1101
Andhra Pradesh,rosemary,medicinal,41.2,very_low,kharif,southern_india,4816,7007,161432,29.3,1123,14,34,6.3,7.7,622
Andhra Pradesh,lavender,medicinal,47.4,very_low,kharif,southern_india,9081,2216,151393,42.2,330,13,27,5.8,7.7,973
Andhra Pradesh,bamboo,timber,49.8,very_low,kharif,southern_india,8044,6890,84643,49.1,1024,11,38,5.8,8,362
Andhra Pradesh,eucalyptus,timber,42.6,very_low,kharif,southern_india,6369,6859,60775,33.9,1102,17,31,5.7,7,573
Andhra Pradesh,teak,timber,49.8,very_low,kharif,southern_india,25098,6362,181505,34.9,538,23,38,6.1,7.2,702
Andhra Pradesh,sal,timber,46.9,very_low,kharif,southern_india,15042,3662,213271,10,749,10,39,6.4,7.4,1072
Andhra Pradesh,sandalwood,timber,44.4,very_low,kharif,southern_india,21342,6634,4341,48.3,1144,14,41,5.8,8.3,401
Andhra Pradesh,rosewood,timber,50.6,very_low,kharif,southern_india,2197,2693,2270,26.1,591,18,30,5.8,8.1,343
Andhra Pradesh,pine,timber,53.5,very_low,kharif,southern_india,18150,5152,193089,13.3,302,13,40,5.5,7.9,1195
Andhra Pradesh,deodar,timber,52.8,very_low,kharif,southern_india,1491,6819,97973,10.2,322,23,38,6.3,8.3,814
Andhra Pradesh,button_mushroom,mushroom,47.8,very_low,kharif,southern_india,6025,4042,115248,32.1,1360,16,37,6.1,7.9,932
Andhra Pradesh,oyster_mushroom,mushroom,43.6,very_low,kharif,southern_india,2291,3691,79095,34.4,1435,19,39,6,8,363
Andhra Pradesh,shiitake,mushroom,43.8,very_low,kharif,southern_india,8235,1319,19457,17.5,1462,14,34,5.7,7.9,552
Andhra Pradesh,milky_mushroom,mushroom,43.1,very_low,kharif,southern_india,314,1053,35790,6.7,340,15,41,6.1,7.8,564
Andhra Pradesh,rose,flowers,54,very_low,kharif,southern_india,1726,5319,16497,20.5,859,23,34,6.2,8.5,418
Andhra Pradesh,jasmine,flowers,44.1,very_low,kharif,southern_india,7650,3877,129924,37.1,990,14,41,6.5,8.2,301
Andhra Pradesh,marigold,flowers,49.5,very_low,kharif,southern_india,2921,1416,53287,35.9,348,15,34,5.9,7.2,677
Andhra Pradesh,chrysanthemum,flowers,51.3,very_low,kharif,southern_india,1020,3483,86043,35.1,1082,15,36,5.5,8,1121
Andhra Pradesh,tuberose,flowers,49.2,very_low,kharif,southern_india,19966,1843,198378,8,894,12,25,5.9,7.4,737
Andhra Pradesh,gladiolus,flowers,48.7,very_low,kharif,southern_india,1433,4910,29926,37.8,1047,22,38,5.9,8,547
Andhra Pradesh,lily,flowers,44.6,very_low,kharif,southern_india,11651,6588,169660,43.6,1391,16,31,6.1,7.6,840
Andhra Pradesh,orchid,flowers,50.6,very_low,kharif,southern_india,9051,2168,81998,11.4,1357,15,28,5.5,8,873
Andhra Pradesh,carnation,flowers,45.1,very_low,kharif,southern_india,4751,3178,61975,32.3,673,13,44,6,8,426
Andhra Pradesh,gerbera,flowers,47.3,very_low,kharif,southern_india,5385,7748,32494,6.8,240,15,28,5.5,8.1,712
Andhra Pradesh,anthurium,flowers,44.3,very_low,kharif,southern_india,3499,7691,70524,45,983,22,44,5.8,8.4,650
Arunachal Pradesh,rice,cereals,75.8,medium,kharif,hill_regions,56688,2079,460385,29.4,1190,22,33,5.8,7.4,475
Arunachal Pradesh,wheat,cereals,85.7,high,rabi,hill_regions,55888,7764,899324,20.6,954,12,33,6.1,7.7,661
