crop,problem_type,problem_name,scientific_name,symptoms,treatment,prevention,severity_level,affected_plant_part,favorable_conditions,economic_loss_percent,treatment_cost_per_hectare,occurrence_season,geographical_distribution,resistance_available,organic_treatment,diagnostic_method,spread_mechanism,quarantine_importance,ipm_strategy
rice,pest,green_leafhopper,Nephotettix cincticeps,"yellowing, stunting, tungro virus transmission",thiamethoxam 25% WG @ 0.2 g/liter,"early transplanting, clean cultivation",high,sap,warm_humid_weather,63,1941,summer,southern_states,yes,bt_spray,visual_identification,wind,medium,"Integrated approach using early transplanting, clean cultivation and thiamethoxam 25% WG @ 0.2 g/liter"
rice,pest,rice_hispa,Dicladispa armigera,"white streaks parallel to leaf veins, scraping of chlorophyll",cartap hydrochloride 50% SP @ 2 g/liter,"avoid close transplanting, flooding",high,stem,cool_weather,61,2058,year_round,all_india,yes,sticky_traps,visual_identification,human_activity,high,"Integrated approach using avoid close transplanting, flooding and cartap hydrochloride 50% SP @ 2 g/liter"
rice,pest,gall_midge,Orseolia oryzae,"silver shoot formation, onion leaf symptom",carbofuran 3G @ 1 kg a.i./ha,"resistant varieties, proper nursery management",medium,root,cool_weather,27,2515,rabi,eastern_states,limited,neem_oil,visual_identification,wind,high,"Integrated approach using resistant varieties, proper nursery management and carbofuran 3G @ 1 kg a.i./ha"
rice,pest,leaf_folder,Cnaphalocrocis medinalis,"longitudinal transparent streaks, folded leaf margins",chlorantraniliprole 18.5% SC @ 0.3 ml/liter,"light traps, avoid excess nitrogen",severe,leaf,warm_humid_weather,44,3047,year_round,western_states,yes,bt_spray,visual_identification,crawling,low,"Integrated approach using light traps, avoid excess nitrogen and chlorantraniliprole 18.5% SC @ 0.3 ml/liter"
rice,pest,white_backed_planthopper,Sogatella furcifera,"stunted growth, grassy stunt virus transmission",buprofezin 25% SC @ 1.5 ml/liter,"balanced fertilization, resistant varieties",high,root,dry_hot_conditions,47,2025,rabi,eastern_states,yes,predatory_insects,visual_identification,crawling,high,"Integrated approach using balanced fertilization, resistant varieties and buprofezin 25% SC @ 1.5 ml/liter"
rice,pest,rice_thrips,Stenchaetothrips biformis,silvery streaks on leaves due to rasping,fipronil 5% SC @ 2 ml/liter,"proper water management, early detection",high,stem,cool_weather,45,3971,kharif,southern_states,limited,bt_spray,visual_identification,wind,high,"Integrated approach using proper water management, early detection and fipronil 5% SC @ 2 ml/liter"
wheat,disease,yellow_rust,Puccinia striiformis f.sp. tritici,yellow pustules arranged in linear rows on leaves,propiconazole 25% EC @ 1 ml/liter,"resistant varieties like HD 2967, proper sowing time",medium,whole_plant,high_humidity_warm,54,1013,rabi,eastern_states,no,neem_oil,elisa_test,soil,high,"Integrated approach using resistant varieties like HD 2967, proper sowing time and propiconazole 25% EC @ 1 ml/liter"
wheat,disease,brown_rust,Puccinia recondita f.sp. tritici,brown pustules scattered randomly on leaf surface,mancozeb 75% WP @ 2.5 g/liter,"resistant varieties, avoid late sowing",medium,grain,high_temperature,36,3508,rabi,all_india,yes,trichoderma,visual_symptoms,seeds,medium,"Integrated approach using resistant varieties, avoid late sowing and mancozeb 75% WP @ 2.5 g/liter"
wheat,disease,black_rust,Puccinia graminis f.sp. tritici,black pustules on stem and both leaf surfaces,hexaconazole 5% EC @ 2 ml/liter,eliminate barberry alternate host,medium,whole_plant,waterlogged_conditions,54,842,kharif,southern_states,no,neem_oil,elisa_test,seeds,low,Integrated approach using eliminate barberry alternate host and hexaconazole 5% EC @ 2 ml/liter
wheat,disease,loose_smut,Ustilago nuda f.sp. tritici,entire spike replaced by black powdery mass,hot water seed treatment at 52°C for 11 minutes,certified disease-free seeds,high,stem,wet_cool_weather,49,1853,year_round,western_states,no,copper_fungicide,microscopy,water,medium,Integrated approach using certified disease-free seeds and hot water seed treatment at 52°C for 11 minutes
wheat,disease,covered_smut,Tilletia tritici,grains replaced by black powder with fishy odor,vitavax 200 @ 2.5 g/kg seed,seed treatment with systemic fungicides,medium,leaf,high_temperature,27,3077,rabi,northern_states,limited,copper_fungicide,elisa_test,insects,medium,Integrated approach using seed treatment with systemic fungicides and vitavax 200 @ 2.5 g/kg seed
wheat,disease,powdery_mildew,Blumeria graminis f.sp. tritici,white powdery growth on leaves and stems,triadimefon 25% WP @ 0.5 g/liter,"avoid excess nitrogen, proper spacing",high,grain,high_temperature,35,1814,kharif,northern_states,yes,neem_oil,microscopy,water,low,"Integrated approach using avoid excess nitrogen, proper spacing and triadimefon 25% WP @ 0.5 g/liter"
wheat,disease,septoria_leaf_blight,Septoria tritici,brown spots with dark pycnidia on leaves,carbendazim 50% WP @ 1 g/liter,"crop rotation, resistant varieties",medium,leaf,wet_cool_weather,48,1625,summer,western_states,yes,neem_oil,pcr_test,water,high,"Integrated approach using crop rotation, resistant varieties and carbendazim 50% WP @ 1 g/liter"
wheat,disease,alternaria_blight,Alternaria triticina,dark brown oval lesions with concentric rings,mancozeb 75% WP @ 2.5 g/liter,"balanced nutrition, timely sowing",severe,root,high_humidity_warm,48,3334,summer,northern_states,yes,bacillus_subtilis,elisa_test,wind,high,"Integrated approach using balanced nutrition, timely sowing and mancozeb 75% WP @ 2.5 g/liter"
wheat,pest,aphid,Sitobion avenae,"curled yellowing leaves, stunted plant growth",imidacloprid 17.8% SL @ 0.5 ml/liter,"early sowing, reflective mulches",high,stem,cool_weather,58,3774,rabi,western_states,yes,predatory_insects,visual_identification,human_activity,medium,"Integrated approach using early sowing, reflective mulches and imidacloprid 17.8% SL @ 0.5 ml/liter"
wheat,pest,wheat_termite,Odontotermes obesus,cutting of young plants at soil level,chlorpyrifos 20% EC soil application @ 4 liter/ha,"deep summer ploughing, remove stubbles",high,sap,cool_weather,40,5094,summer,eastern_states,limited,neem_oil,visual_identification,wind,high,"Integrated approach using deep summer ploughing, remove stubbles and chlorpyrifos 20% EC soil application @ 4 liter/ha"
wheat,pest,wheat_stem_sawfly,Cephus cinctus,"stem cutting near soil level, lodging",early harvesting to prevent emergence,"resistant varieties, deep ploughing",severe,sap,monsoon_season,25,3614,summer,eastern_states,limited,sticky_traps,visual_identification,crawling,high,"Integrated approach using resistant varieties, deep ploughing and early harvesting to prevent emergence"
wheat,pest,army_worm,Mythimna separata,cutting and feeding on leaves and young shoots,lambda cyhalothrin 5% EC @ 1 ml/liter,"pheromone traps, light traps",medium,leaf,dry_hot_conditions,20,1107,kharif,all_india,no,predatory_insects,visual_identification,human_activity,medium,"Integrated approach using pheromone traps, light traps and lambda cyhalothrin 5% EC @ 1 ml/liter"
wheat,pest,pink_stem_borer,Sesamia inferens,"deadheart formation, stem tunneling",cartap hydrochloride 4G @ 25 kg/ha,"resistant varieties, clean cultivation",high,sap,cool_weather,75,2527,rabi,southern_states,yes,predatory_insects,visual_identification,wind,medium,"Integrated approach using resistant varieties, clean cultivation and cartap hydrochloride 4G @ 25 kg/ha"
wheat,pest,wheat_midge,Sitodiplosis mosellana,shriveled and discolored grains,lambda cyhalothrin during anthesis,early maturing varieties,severe,stem,warm_humid_weather,71,2651,kharif,northern_states,no,neem_oil,visual_identification,crawling,high,Integrated approach using early maturing varieties and lambda cyhalothrin during anthesis
maize,disease,maize_blast,Pathogen_maize_1,"Typical blast symptoms in maize: leaf spots, wilting, discoloration",Fungicide spray - carbendazim as recommended,"Use resistant varieties, proper sanitation, balanced nutrition for maize",severe,flower,poor_drainage,26,1855,year_round,widespread,limited,baking_soda,visual_symptoms,water,low,Integrated disease management for maize
maize,disease,maize_rust,Pathogen_maize_2,"Typical rust symptoms in maize: leaf spots, wilting, discoloration",Fungicide spray - carbendazim as recommended,"Use resistant varieties, proper sanitation, balanced nutrition for maize",high,stem,wet_conditions,47,4708,rabi,widespread,yes,copper_fungicide,visual_symptoms,water,low,Integrated disease management for maize
maize,disease,maize_smut,Pathogen_maize_3,"Typical smut symptoms in maize: leaf spots, wilting, discoloration",Fungicide spray - propiconazole as recommended,"Use resistant varieties, proper sanitation, balanced nutrition for maize",medium,flower,high_humidity,20,1063,kharif,widespread,yes,baking_soda,visual_symptoms,contact,medium,Integrated disease management for maize
maize,pest,maize_stem_borer,Pest_maize_stem_borer_1,"Typical stem_borer damage in maize: feeding marks, holes, defoliation",Insecticide spray - acetamiprid as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for maize",low,sap,humid_conditions,51,2237,summer,widespread,yes,pheromone_traps,visual_identification,flight,medium,Integrated pest management for maize
maize,pest,maize_aphid,Pest_maize_aphid_2,"Typical aphid damage in maize: feeding marks, holes, defoliation",Insecticide spray - imidacloprid as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for maize",medium,sap,dry_weather,32,2297,kharif,widespread,limited,neem_oil,visual_identification,wind_dispersal,low,Integrated pest management for maize
maize,pest,maize_thrips,Pest_maize_thrips_3,"Typical thrips damage in maize: feeding marks, holes, defoliation",Insecticide spray - acetamiprid as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for maize",severe,stem,monsoon,26,1001,summer,widespread,limited,pheromone_traps,visual_identification,crawling,medium,Integrated pest management for maize
maize,pest,maize_armyworm,Pest_maize_armyworm_4,"Typical armyworm damage in maize: feeding marks, holes, defoliation",Insecticide spray - acetamiprid as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for maize",low,leaf,warm_weather,35,4763,rabi,widespread,limited,neem_oil,visual_identification,human_activity,low,Integrated pest management for maize
barley,disease,barley_blast,Pathogen_barley_1,"Typical blast symptoms in barley: leaf spots, wilting, discoloration",Fungicide spray - propiconazole as recommended,"Use resistant varieties, proper sanitation, balanced nutrition for barley",medium,fruit,wet_conditions,49,3198,summer,widespread,no,copper_fungicide,visual_symptoms,contact,medium,Integrated disease management for barley
barley,disease,barley_rust,Pathogen_barley_2,"Typical rust symptoms in barley: leaf spots, wilting, discoloration",Fungicide spray - carbendazim as recommended,"Use resistant varieties, proper sanitation, balanced nutrition for barley",medium,leaf,wet_conditions,34,2178,kharif,widespread,limited,trichoderma,visual_symptoms,water,medium,Integrated disease management for barley
barley,disease,barley_smut,Pathogen_barley_3,"Typical smut symptoms in barley: leaf spots, wilting, discoloration",Fungicide spray - mancozeb as recommended,"Use resistant varieties, proper sanitation, balanced nutrition for barley",low,stem,high_humidity,47,3598,year_round,widespread,yes,copper_fungicide,visual_symptoms,insects,medium,Integrated disease management for barley
barley,pest,barley_stem_borer,Pest_barley_stem_borer_1,"Typical stem_borer damage in barley: feeding marks, holes, defoliation",Insecticide spray - acetamiprid as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for barley",low,leaf,monsoon,32,2997,summer,widespread,yes,bt_spray,visual_identification,wind_dispersal,medium,Integrated pest management for barley
barley,pest,barley_aphid,Pest_barley_aphid_2,"Typical aphid damage in barley: feeding marks, holes, defoliation",Insecticide spray - lambda_cyhalothrin as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for barley",low,fruit,warm_weather,58,3694,rabi,widespread,yes,neem_oil,visual_identification,human_activity,medium,Integrated pest management for barley
barley,pest,barley_thrips,Pest_barley_thrips_3,"Typical thrips damage in barley: feeding marks, holes, defoliation",Insecticide spray - emamectin_benzoate as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for barley",low,fruit,humid_conditions,56,902,year_round,widespread,limited,pheromone_traps,visual_identification,wind_dispersal,medium,Integrated pest management for barley
barley,pest,barley_armyworm,Pest_barley_armyworm_4,"Typical armyworm damage in barley: feeding marks, holes, defoliation",Insecticide spray - emamectin_benzoate as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for barley",high,root,humid_conditions,24,888,kharif,widespread,yes,pheromone_traps,visual_identification,human_activity,low,Integrated pest management for barley
jowar_sorghum,disease,jowar_sorghum_early_blight,Pathogen_jowarsorghum_1,"Typical early_blight symptoms in jowar_sorghum: leaf spots, wilting, discoloration",Fungicide spray - carbendazim as recommended,"Use resistant varieties, proper sanitation, balanced nutrition for jowar_sorghum",severe,fruit,poor_drainage,41,729,kharif,widespread,limited,copper_fungicide,visual_symptoms,insects,low,Integrated disease management for jowar_sorghum
jowar_sorghum,disease,jowar_sorghum_late_blight,Pathogen_jowarsorghum_2,"Typical late_blight symptoms in jowar_sorghum: leaf spots, wilting, discoloration",Fungicide spray - copper_oxychloride as recommended,"Use resistant varieties, proper sanitation, balanced nutrition for jowar_sorghum",low,root,wet_conditions,26,615,rabi,widespread,no,copper_fungicide,visual_symptoms,contact,medium,Integrated disease management for jowar_sorghum
jowar_sorghum,disease,jowar_sorghum_powdery_mildew,Pathogen_jowarsorghum_3,"Typical powdery_mildew symptoms in jowar_sorghum: leaf spots, wilting, discoloration",Fungicide spray - propiconazole as recommended,"Use resistant varieties, proper sanitation, balanced nutrition for jowar_sorghum",severe,flower,high_temperature,53,4033,summer,widespread,no,baking_soda,visual_symptoms,wind,low,Integrated disease management for jowar_sorghum
jowar_sorghum,pest,jowar_sorghum_fruit_borer,Pest_jowarsorghum_fruit_borer_1,"Typical fruit_borer damage in jowar_sorghum: feeding marks, holes, defoliation",Insecticide spray - emamectin_benzoate as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for jowar_sorghum",high,fruit,monsoon,60,2875,summer,widespread,no,bt_spray,visual_identification,crawling,low,Integrated pest management for jowar_sorghum
jowar_sorghum,pest,jowar_sorghum_aphid,Pest_jowarsorghum_aphid_2,"Typical aphid damage in jowar_sorghum: feeding marks, holes, defoliation",Insecticide spray - acetamiprid as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for jowar_sorghum",medium,fruit,monsoon,69,3298,kharif,widespread,limited,pheromone_traps,visual_identification,wind_dispersal,medium,Integrated pest management for jowar_sorghum
jowar_sorghum,pest,jowar_sorghum_whitefly,Pest_jowarsorghum_whitefly_3,"Typical whitefly damage in jowar_sorghum: feeding marks, holes, defoliation",Insecticide spray - acetamiprid as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for jowar_sorghum",medium,stem,monsoon,65,2373,summer,widespread,yes,sticky_traps,visual_identification,crawling,low,Integrated pest management for jowar_sorghum
jowar_sorghum,pest,jowar_sorghum_thrips,Pest_jowarsorghum_thrips_4,"Typical thrips damage in jowar_sorghum: feeding marks, holes, defoliation",Insecticide spray - emamectin_benzoate as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for jowar_sorghum",high,stem,humid_conditions,50,5779,summer,widespread,no,neem_oil,visual_identification,human_activity,medium,Integrated pest management for jowar_sorghum
bajra_pearl_millet,disease,bajra_pearl_millet_blast,Pathogen_bajrapearlmillet_1,"Typical blast symptoms in bajra_pearl_millet: leaf spots, wilting, discoloration",Fungicide spray - carbendazim as recommended,"Use resistant varieties, proper sanitation, balanced nutrition for bajra_pearl_millet",low,leaf,high_humidity,51,4624,year_round,widespread,no,neem_oil,visual_symptoms,wind,low,Integrated disease management for bajra_pearl_millet
bajra_pearl_millet,disease,bajra_pearl_millet_rust,Pathogen_bajrapearlmillet_2,"Typical rust symptoms in bajra_pearl_millet: leaf spots, wilting, discoloration",Fungicide spray - carbendazim as recommended,"Use resistant varieties, proper sanitation, balanced nutrition for bajra_pearl_millet",medium,stem,poor_drainage,20,2720,year_round,widespread,no,baking_soda,visual_symptoms,insects,low,Integrated disease management for bajra_pearl_millet
bajra_pearl_millet,disease,bajra_pearl_millet_smut,Pathogen_bajrapearlmillet_3,"Typical smut symptoms in bajra_pearl_millet: leaf spots, wilting, discoloration",Fungicide spray - mancozeb as recommended,"Use resistant varieties, proper sanitation, balanced nutrition for bajra_pearl_millet",severe,stem,poor_drainage,53,2516,rabi,widespread,limited,copper_fungicide,visual_symptoms,insects,low,Integrated disease management for bajra_pearl_millet
bajra_pearl_millet,pest,bajra_pearl_millet_stem_borer,Pest_bajrapearlmillet_stem_borer_1,"Typical stem_borer damage in bajra_pearl_millet: feeding marks, holes, defoliation",Insecticide spray - lambda_cyhalothrin as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for bajra_pearl_millet",high,leaf,humid_conditions,27,3414,year_round,widespread,yes,neem_oil,visual_identification,wind_dispersal,low,Integrated pest management for bajra_pearl_millet
bajra_pearl_millet,pest,bajra_pearl_millet_aphid,Pest_bajrapearlmillet_aphid_2,"Typical aphid damage in bajra_pearl_millet: feeding marks, holes, defoliation",Insecticide spray - lambda_cyhalothrin as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for bajra_pearl_millet",severe,root,dry_weather,27,5333,year_round,widespread,limited,bt_spray,visual_identification,wind_dispersal,low,Integrated pest management for bajra_pearl_millet
bajra_pearl_millet,pest,bajra_pearl_millet_thrips,Pest_bajrapearlmillet_thrips_3,"Typical thrips damage in bajra_pearl_millet: feeding marks, holes, defoliation",Insecticide spray - lambda_cyhalothrin as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for bajra_pearl_millet",medium,root,warm_weather,55,5698,rabi,widespread,limited,neem_oil,visual_identification,wind_dispersal,low,Integrated pest management for bajra_pearl_millet
bajra_pearl_millet,pest,bajra_pearl_millet_armyworm,Pest_bajrapearlmillet_armyworm_4,"Typical armyworm damage in bajra_pearl_millet: feeding marks, holes, defoliation",Insecticide spray - acetamiprid as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for bajra_pearl_millet",severe,stem,dry_weather,29,4614,year_round,widespread,limited,neem_oil,visual_identification,wind_dispersal,low,Integrated pest management for bajra_pearl_millet
ragi_finger_millet,disease,ragi_finger_millet_blast,Pathogen_ragifingermillet_1,"Typical blast symptoms in ragi_finger_millet: leaf spots, wilting, discoloration",Fungicide spray - mancozeb as recommended,"Use resistant varieties, proper sanitation, balanced nutrition for ragi_finger_millet",severe,fruit,wet_conditions,29,2417,year_round,widespread,yes,trichoderma,visual_symptoms,wind,medium,Integrated disease management for ragi_finger_millet
ragi_finger_millet,disease,ragi_finger_millet_rust,Pathogen_ragifingermillet_2,"Typical rust symptoms in ragi_finger_millet: leaf spots, wilting, discoloration",Fungicide spray - mancozeb as recommended,"Use resistant varieties, proper sanitation, balanced nutrition for ragi_finger_millet",medium,leaf,wet_conditions,57,1178,kharif,widespread,no,neem_oil,visual_symptoms,water,medium,Integrated disease management for ragi_finger_millet
ragi_finger_millet,disease,ragi_finger_millet_smut,Pathogen_ragifingermillet_3,"Typical smut symptoms in ragi_finger_millet: leaf spots, wilting, discoloration",Fungicide spray - propiconazole as recommended,"Use resistant varieties, proper sanitation, balanced nutrition for ragi_finger_millet",low,root,wet_conditions,17,3243,kharif,widespread,no,trichoderma,visual_symptoms,contact,low,Integrated disease management for ragi_finger_millet
ragi_finger_millet,pest,ragi_finger_millet_stem_borer,Pest_ragifingermillet_stem_borer_1,"Typical stem_borer damage in ragi_finger_millet: feeding marks, holes, defoliation",Insecticide spray - acetamiprid as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for ragi_finger_millet",high,sap,dry_weather,74,4991,rabi,widespread,no,pheromone_traps,visual_identification,crawling,medium,Integrated pest management for ragi_finger_millet
ragi_finger_millet,pest,ragi_finger_millet_aphid,Pest_ragifingermillet_aphid_2,"Typical aphid damage in ragi_finger_millet: feeding marks, holes, defoliation",Insecticide spray - acetamiprid as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for ragi_finger_millet",medium,fruit,monsoon,36,5410,rabi,widespread,limited,neem_oil,visual_identification,human_activity,low,Integrated pest management for ragi_finger_millet
ragi_finger_millet,pest,ragi_finger_millet_thrips,Pest_ragifingermillet_thrips_3,"Typical thrips damage in ragi_finger_millet: feeding marks, holes, defoliation",Insecticide spray - acetamiprid as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for ragi_finger_millet",low,stem,humid_conditions,55,3078,kharif,widespread,limited,pheromone_traps,visual_identification,crawling,medium,Integrated pest management for ragi_finger_millet
ragi_finger_millet,pest,ragi_finger_millet_armyworm,Pest_ragifingermillet_armyworm_4,"Typical armyworm damage in ragi_finger_millet: feeding marks, holes, defoliation",Insecticide spray - imidacloprid as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for ragi_finger_millet",high,leaf,humid_conditions,73,5135,rabi,widespread,no,pheromone_traps,visual_identification,crawling,medium,Integrated pest management for ragi_finger_millet
foxtail_millet,disease,foxtail_millet_blast,Pathogen_foxtailmillet_1,"Typical blast symptoms in foxtail_millet: leaf spots, wilting, discoloration",Fungicide spray - carbendazim as recommended,"Use resistant varieties, proper sanitation, balanced nutrition for foxtail_millet",low,leaf,wet_conditions,23,2574,kharif,widespread,no,trichoderma,visual_symptoms,insects,medium,Integrated disease management for foxtail_millet
foxtail_millet,disease,foxtail_millet_rust,Pathogen_foxtailmillet_2,"Typical rust symptoms in foxtail_millet: leaf spots, wilting, discoloration",Fungicide spray - mancozeb as recommended,"Use resistant varieties, proper sanitation, balanced nutrition for foxtail_millet",high,fruit,high_humidity,45,654,kharif,widespread,no,baking_soda,visual_symptoms,contact,medium,Integrated disease management for foxtail_millet
foxtail_millet,disease,foxtail_millet_smut,Pathogen_foxtailmillet_3,"Typical smut symptoms in foxtail_millet: leaf spots, wilting, discoloration",Fungicide spray - mancozeb as recommended,"Use resistant varieties, proper sanitation, balanced nutrition for foxtail_millet",high,flower,high_humidity,30,4717,kharif,widespread,no,copper_fungicide,visual_symptoms,insects,low,Integrated disease management for foxtail_millet
foxtail_millet,pest,foxtail_millet_stem_borer,Pest_foxtailmillet_stem_borer_1,"Typical stem_borer damage in foxtail_millet: feeding marks, holes, defoliation",Insecticide spray - emamectin_benzoate as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for foxtail_millet",medium,fruit,dry_weather,30,2313,summer,widespread,yes,neem_oil,visual_identification,wind_dispersal,medium,Integrated pest management for foxtail_millet
foxtail_millet,pest,foxtail_millet_aphid,Pest_foxtailmillet_aphid_2,"Typical aphid damage in foxtail_millet: feeding marks, holes, defoliation",Insecticide spray - emamectin_benzoate as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for foxtail_millet",high,stem,dry_weather,38,3840,kharif,widespread,yes,sticky_traps,visual_identification,human_activity,medium,Integrated pest management for foxtail_millet
foxtail_millet,pest,foxtail_millet_thrips,Pest_foxtailmillet_thrips_3,"Typical thrips damage in foxtail_millet: feeding marks, holes, defoliation",Insecticide spray - acetamiprid as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for foxtail_millet",medium,root,monsoon,59,1787,kharif,widespread,limited,pheromone_traps,visual_identification,human_activity,medium,Integrated pest management for foxtail_millet
foxtail_millet,pest,foxtail_millet_armyworm,Pest_foxtailmillet_armyworm_4,"Typical armyworm damage in foxtail_millet: feeding marks, holes, defoliation",Insecticide spray - lambda_cyhalothrin as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for foxtail_millet",low,sap,dry_weather,65,5218,year_round,widespread,no,sticky_traps,visual_identification,crawling,low,Integrated pest management for foxtail_millet
proso_millet,disease,proso_millet_blast,Pathogen_prosomillet_1,"Typical blast symptoms in proso_millet: leaf spots, wilting, discoloration",Fungicide spray - mancozeb as recommended,"Use resistant varieties, proper sanitation, balanced nutrition for proso_millet",low,leaf,wet_conditions,45,919,summer,widespread,yes,trichoderma,visual_symptoms,wind,low,Integrated disease management for proso_millet
proso_millet,disease,proso_millet_rust,Pathogen_prosomillet_2,"Typical rust symptoms in proso_millet: leaf spots, wilting, discoloration",Fungicide spray - propiconazole as recommended,"Use resistant varieties, proper sanitation, balanced nutrition for proso_millet",medium,root,high_humidity,45,1577,kharif,widespread,yes,trichoderma,visual_symptoms,contact,medium,Integrated disease management for proso_millet
proso_millet,disease,proso_millet_smut,Pathogen_prosomillet_3,"Typical smut symptoms in proso_millet: leaf spots, wilting, discoloration",Fungicide spray - carbendazim as recommended,"Use resistant varieties, proper sanitation, balanced nutrition for proso_millet",high,root,high_humidity,37,1000,rabi,widespread,limited,neem_oil,visual_symptoms,wind,medium,Integrated disease management for proso_millet
proso_millet,pest,proso_millet_stem_borer,Pest_prosomillet_stem_borer_1,"Typical stem_borer damage in proso_millet: feeding marks, holes, defoliation",Insecticide spray - imidacloprid as recommended,"Monitor regularly, use pheromone traps, encourage natural enemies for proso_millet",medium,root,monsoon,26,3740,year_round,widespread,yes,pheromone_traps,visual_identification,flight,medium,Integrated pest management for proso_millet
